Day,SUSCEPTIBLE (total),SUSCEPTIBLE (%),INFECTIOUS (total),INFECTIOUS (%),RECOVERED (total),RECOVERED (%)
1,246691,98.6764,2882,1.1528,427,0.1708
2,245963,98.3852,3128,1.2512,909,0.3636
3,245197,98.0788,3399,1.3596000000000001,1404,0.5616
4,244336,97.7344,3704,1.4816,1960,0.784
5,243514,97.4056,3917,1.5668000000000002,2569,1.0276
6,242685,97.074,4119,1.6476000000000002,3196,1.2784
7,241850,96.74000000000001,4279,1.7116,3871,1.5484
8,241028,96.4112,4386,1.7544,4586,1.8344
9,240158,96.06320000000001,4525,1.81,5317,2.1268
10,239354,95.7416,4538,1.8152000000000001,6108,2.4432
11,238532,95.4128,4626,1.8504,6842,2.7368
12,237730,95.092,4677,1.8707999999999998,7593,3.0372
13,236936,94.7744,4649,1.8596000000000001,8415,3.366
14,236159,94.4636,4661,1.8644,9180,3.672
15,235430,94.172,4648,1.8592000000000002,9922,3.9688
16,234729,93.8916,4597,1.8388000000000002,10674,4.2696
17,234041,93.6164,4534,1.8135999999999999,11425,4.569999999999999
18,233346,93.3384,4451,1.7804,12203,4.8812
19,232703,93.0812,4381,1.7524000000000002,12916,5.1664
20,232079,92.83160000000001,4239,1.6955999999999998,13682,5.472799999999999
21,231457,92.58279999999999,4175,1.67,14368,5.7472
22,230896,92.35839999999999,4038,1.6152,15066,6.0264
23,230303,92.1212,3967,1.5868,15730,6.292000000000001
24,229710,91.884,3934,1.5735999999999999,16356,6.5424
25,229170,91.668,3848,1.5392,16982,6.792800000000001
26,228650,91.46,3778,1.5112,17572,7.0288
27,228155,91.262,3681,1.4724,18164,7.2656
28,227686,91.0744,3524,1.4096,18790,7.516
29,227208,90.8832,3385,1.354,19407,7.7628
30,226724,90.6896,3324,1.3296000000000001,19952,7.9808
31,226303,90.52120000000001,3236,1.2944,20461,8.1844
32,225906,90.3624,3108,1.2432,20986,8.394400000000001
33,225532,90.2128,2959,1.1836,21509,8.6036
34,225154,90.0616,2847,1.1388,21999,8.7996
35,224771,89.9084,2737,1.0948,22492,8.9968
36,224432,89.7728,2663,1.0652,22905,9.161999999999999
37,224102,89.6408,2563,1.0252000000000001,23335,9.334000000000001
38,223758,89.5032,2477,0.9908,23765,9.506
39,223437,89.3748,2352,0.9408,24211,9.6844
40,223154,89.2616,2236,0.8944000000000001,24610,9.844
41,222897,89.1588,2123,0.8492,24980,9.991999999999999
42,222631,89.05239999999999,2012,0.8048,25357,10.142800000000001
43,222354,88.9416,1960,0.784,25686,10.2744
44,222110,88.844,1867,0.7468,26023,10.4092
45,221879,88.7516,1787,0.7148,26334,10.5336
46,221656,88.66239999999999,1671,0.6684,26673,10.6692
47,221445,88.578,1655,0.662,26900,10.76
48,221253,88.5012,1579,0.6316,27168,10.8672
49,221036,88.4144,1542,0.6168,27422,10.9688
50,220859,88.3436,1463,0.5852,27678,11.071200000000001
51,220689,88.2756,1408,0.5632,27903,11.161200000000001
52,220485,88.19399999999999,1330,0.532,28185,11.274000000000001
53,220326,88.1304,1268,0.5072,28406,11.362400000000001
54,220154,88.0616,1234,0.49360000000000004,28612,11.444799999999999
55,220004,88.0016,1176,0.4704,28820,11.527999999999999
56,219859,87.9436,1119,0.4476,29022,11.6088
57,219728,87.8912,1057,0.4228,29215,11.686
58,219615,87.846,1006,0.4024,29379,11.7516
59,219480,87.792,979,0.3916,29541,11.8164
60,219373,87.7492,932,0.3728,29695,11.878
61,219257,87.7028,897,0.3588,29846,11.9384
62,219158,87.6632,841,0.3364,30001,12.000399999999999
63,219060,87.624,808,0.3232,30132,12.0528
64,218965,87.586,765,0.306,30270,12.107999999999999
65,218876,87.5504,726,0.2904,30398,12.1592
66,218784,87.5136,719,0.2876,30497,12.1988
67,218699,87.4796,677,0.2708,30624,12.2496
68,218618,87.44720000000001,663,0.2652,30719,12.2876
69,218511,87.40440000000001,661,0.2644,30828,12.3312
70,218435,87.374,630,0.252,30935,12.374
71,218362,87.3448,611,0.2444,31027,12.4108
72,218301,87.32039999999999,562,0.2248,31137,12.4548
73,218238,87.2952,517,0.20679999999999998,31245,12.498
74,218153,87.2612,511,0.20439999999999997,31336,12.534400000000002
75,218094,87.2376,491,0.1964,31415,12.565999999999999
76,218038,87.21520000000001,455,0.182,31507,12.6028
77,217976,87.1904,456,0.1824,31568,12.6272
78,217917,87.1668,448,0.1792,31635,12.654000000000002
79,217858,87.1432,447,0.17880000000000001,31695,12.678
80,217808,87.1232,440,0.17600000000000002,31752,12.700800000000001
81,217761,87.1044,413,0.1652,31826,12.7304
82,217715,87.086,405,0.16199999999999998,31880,12.751999999999999
83,217671,87.0684,384,0.15360000000000001,31945,12.778
84,217626,87.0504,364,0.1456,32010,12.803999999999998
85,217585,87.034,345,0.13799999999999998,32070,12.828000000000001
86,217538,87.01520000000001,336,0.1344,32126,12.8504
87,217501,87.0004,322,0.1288,32177,12.8708
88,217463,86.98519999999999,314,0.1256,32223,12.8892
89,217434,86.97359999999999,289,0.1156,32277,12.9108
90,217390,86.956,288,0.1152,32322,12.928799999999999
